"crop","paid_pollinated_acres","price_per_acre_USD","colonies_used","price_per_colony_USD","total_value_of_pollination_1000USD","crop_category","region","year"
"Other tree fruit",4650,74.2,10500,60.9,639,"Tree fruit","6 & 7",2015
"Kiwi",2450,86.8,6500,33.6,218,"Other fruit","6 & 7",2015
"Cantaloupe",27300,46.3,28000,45.1,1263,"Melons","6 & 7",2015
"Honey dew",8700,45.8,8000,49.9,399,"Melons","6 & 7",2015
"Watermelon",10300,82.2,20000,46.8,936,"Melons","6 & 7",2015
"Blueberry",2450,269,12500,91.8,1148,"Berries","6 & 7",2015
"Raspberry",3100,159,6500,147,956,"Berries","6 & 7",2015
"Cucumber",3150,83.4,8000,36.7,294,"Vegetables","6 & 7",2015
"Other vegetables",3800,89.2,14500,36.1,523,"Vegetables","6 & 7",2015
"Alfalfa",27900,80.2,46000,48.8,2245,"Other","6 & 7",2015
"Sunflower",21400,53.3,36000,35.6,1282,"Other","6 & 7",2015
"All other",7800,42.7,27000,36.3,980,"Other","6 & 7",2015
"Almond",971400,287,1680000,167,280560,"Tree nuts","6 & 7",2016
"Apple",10400,89.2,20000,47.7,954,"Tree fruit","6 & 7",2016
"Avocado",12800,103,69000,40.8,2815,"Tree fruit","6 & 7",2016
"Cherry",29800,127,55000,68.6,3773,"Tree fruit","6 & 7",2016
"Plum",29700,89.9,46000,64.4,2962,"Tree fruit","6 & 7",2016
"Other tree fruit",6200,59,12800,48.2,617,"Tree fruit","6 & 7",2016
"Orange",2700,130,11000,103,1133,"Citrus","6 & 7",2016
"Kiwi",2800,217,4800,205,984,"Other fruit","6 & 7",2016
"Cantaloupe",36900,53.3,40000,49.3,1972,"Melons","6 & 7",2016
"Honey dew",9300,55.8,10000,51.3,513,"Melons","6 & 7",2016
"Watermelon",13000,63.4,21000,38.7,813,"Melons","6 & 7",2016
"Blueberry",3050,240,7500,101,758,"Berries","6 & 7",2016
"Cranberry",3300,285,13000,71.5,930,"Berries","6 & 7",2016
"Raspberry",5100,220,14000,92.3,1292,"Berries","6 & 7",2016
"Cucumber",3750,82.4,11000,28.9,318,"Vegetables","6 & 7",2016
"Squash",2800,64.4,6500,27.3,177,"Vegetables","6 & 7",2016
"Alfalfa",42700,137,92000,63.6,5851,"Other","6 & 7",2016
"Sunflower",22800,36.8,30000,28.8,864,"Other","6 & 7",2016
"Misc. crops",11700,14.6,5500,32.1,177,"Other","6 & 7",2016
"All other",7900,71.2,28000,42.4,1187,"Other","6 & 7",2016
